"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"477",2,2,56,18.6,18.5,84,80
"478",2,2,57,18.2,18.5,82,80
"479",2,2,58,18.5,18.5,82,80
"480",2,2,59,18.2,18.5,83,80
"481",2,3,0,18.5,18.5,80,80
"482",2,3,1,18.3,18.5,83,80
"483",2,3,2,18.4,18.5,78,80
"484",2,3,3,18.4,18.5,84,80
"485",2,3,4,18.4,18.5,77,80
"486",2,3,5,18.4,18.5,84,80
"487",2,3,6,18.3,18.5,78,80
"488",2,3,7,18.5,18.5,84,80
"489",2,3,8,18.3,18.5,79,80
"490",2,3,9,18.5,18.5,85,80
"491",2,3,10,18.1,18.5,82,80
"492",2,3,11,18.6,18.5,84,80
"493",2,3,12,18.2,18.5,82,80
"494",2,3,13,18.5,18.5,82,80
"495",2,3,14,18.3,18.5,83,80
"496",2,3,15,18.5,18.5,80,80
"497",2,3,16,18.3,18.5,83,80
"498",2,3,17,18.4,18.5,78,80
"499",2,3,18,18.3,18.5,84,80
"500",2,3,19,18.4,18.5,78,80
"501",2,3,20,18.5,18.5,84,80
"502",2,3,21,18.3,18.5,78,80
"503",2,3,22,18.5,18.5,85,80
"504",2,3,23,18.2,18.5,82,80
"505",2,3,24,18.5,18.5,83,80
"506",2,3,25,18.2,18.5,82,80
"507",2,3,26,18.5,18.5,82,80
"508",2,3,27,18.2,18.5,83,80
"509",2,3,28,18.4,18.5,78,80
"510",2,3,29,18.3,18.5,84,80
"511",2,3,30,18.4,18.5,77,80
"512",2,3,31,18.4,18.5,84,80
"513",2,3,32,18.3,18.5,79,80
"514",2,3,33,18.5,18.5,85,80
"515",2,3,34,18.2,18.5,81,80
"516",2,3,35,18.5,18.5,84,80
"517",2,3,36,18.2,18.5,83,80
"518",2,3,37,18.5,18.5,81,80
"519",2,3,38,18.2,18.5,83,80
"520",2,3,39,18.5,18.5,79,80
"521",2,3,40,18.3,18.5,84,80
"522",2,3,41,18.4,18.5,77,80
"523",2,3,42,18.4,18.5,84,80
"524",2,3,43,18.3,18.5,78,80
"525",2,3,44,18.4,18.5,85,80
"526",2,3,45,18.2,18.5,81,80
"527",2,3,46,18.5,18.5,85,80
"528",2,3,47,18.1,18.5,82,80
"529",2,3,48,18.5,18.5,82,80
"530",2,3,49,18.2,18.5,83,80
"531",2,3,50,18.4,18.5,79,80
"532",2,3,51,18.3,18.5,83,80
"533",2,3,52,18.5,18.5,78,80
"534",2,3,53,18.4,18.5,84,80
"535",2,3,54,18.3,18.5,77,80
"536",2,3,55,18.4,18.5,84,80
"537",2,3,56,18.2,18.5,81,80
